"_id","type","fabric","supplies","steps","notes","disclaimer","source","source_url"
"260","Paint (oil based)","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide;Carpet shampoo;Turpentine or paint Thinner;Vacuum","Vacuum using crevice tool of vacuum cleaner to remove the soot. If all, or most, of the soot has not been removed, call a professional cleaner. If vacuuming has removed all particles go to the next step to remove any traces.;Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.;After removing excess paint, carefully apply turpentine or paint thinner.;Blot repeatedly.;Shampoo, let dry, and vacuum.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"261","Paint (oil based)","Upholstery","Turpentine;Detergent","Scrape up excess paint.;Using a clean white cloth, blot up as much paint as possible.;Using a clean white cloth, blot the stain with turpentine.  Tamp the stain to help break up the paint.;Keep applying turpentine to the stain, tamping and blotting until the paint is removed.;Sponge the stain with waterless hand cleaner.;Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 7 and 8 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"262","Paint, solvent or water based","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"263","Paint, solvent or water based","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide;Clean absorbent towels;Carpet shampoo;Detergent;Vacuum","Dried paint is almost impossible to remove. Check with paint store for possible commercial dry water-based paint removers or contact a commercial carpet and rug cleaner service for advice.;Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.;Work as quickly as possible so the paint does not have a chance to dry.;Remove excess paint by blotting up liquid with a clean absorbent towel.;Sponge with cool water and blot several times;Apply one (1) teaspoon liquid dishwashing detergent mixed in one (1) cup warm water or you can apply diluted carpet shampoo (1 part carpet shampoo to 4 parts water) with a brush or towel.;Rinse and repeat as many times as needed to remove the paint.;Let the area dry thoroughly. Vacuum.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"264","Paint, solvent or water based","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"265","Peaches","Washable fabrics","Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"266","Peanut butter","Carpet","Dry Cleaning solvent;Detergent;White vinegar","Scrape off excess foreign material.;Using an eye dropper, apply a small amount of acetone to the stains.  (Caution: Do not use acetone on fabrics containing acetate or triacetate.  It will melt the fibers!);Blot immediately.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water. Sponge the stain with this solution. Blot until the liquid is absorbed.;Sponge with cold water and blot dry to remove the detergent/vinegar solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"267","Peanut butter","Upholstery","Absorbent;Dry cleaning solvent","Sprinkle baking soda, cornstarch, or other absorbent on the stain.  Let stand 10 to 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"268","Peanut oil","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"269","Peanut oil","Carpet","Dry Cleaning solvent;Detergent;White vinegar","Scrape off excess foreign material.;Using an eye dropper, apply a small amount of acetone to the stains.  (Caution: Do not use acetone on fabrics containing acetate or triacetate.  It will melt the fibers!);Blot immediately.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water. Sponge the stain with this solution. Blot until the liquid is absorbed.;Sponge with cold water and blot dry to remove the detergent/vinegar solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
